"Категорія","Підкатегорія","Модель","Ціна"
"Більярдні столи","Снукер","Царский","85400"
"Більярдні столи","Снукер","Царский","93400"
"Більярдні столи","Снукер","Царский","98500"
"Більярдні столи","Снукер","Классик","132000"
"Більярдні столи","Снукер","Классик","157000"
"Більярдні столи","Снукер","Классик","186000"
"Більярдні столи","Снукер","Клубный","128000"
"Більярдні столи","Снукер","Клубный","169000"
"Більярдні столи","Снукер","Клубный","198000"
